TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MSRO3;702,50;;-2.447,02;287,59;68,00;34,77;15,92;-6,69;1.028,65;1.037,06;8,41;2,35;163,79;-591,86;-92,12;0,70;-11,75;-2,78;5,55;0,24;0,76;0,42;6,40;;;2,44;-0,29;4,91;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;3,85;13,26;7,09;0,41;0,18;25,24;8,14;5,04;4,39;9,61;5,22;0,49;0,36;0,38;-0,97;2,35;5,79;2,49;3,91;0,43;0,55;0,49;30,48;12,44;2.531.718,77;9,38;0,54;0,07;407.233.057,00
MTSA3;75,49;3,31;15,48;1,41;1,14;24,19;7,82;7,90;15,63;8,58;-3,40;-0,31;1,22;1,91;-4,98;4,51;9,13;7,39;1,92;0,81;0,19;0,94;11,91;18,95;7.600,00;53,43;4,88;-0,91;508.598.497,70
MTSA4;41,64;6,60;8,54;0,78;0,63;24,19;7,82;7,90;8,62;8,58;-3,40;-0,31;0,67;1,05;-2,74;4,51;9,13;7,39;1,92;0,81;0,19;0,94;11,91;18,95;623.158,27;53,43;4,88;-0,50;508.598.497,70
MULT3;27,49;4,06;10,93;2,39;1,15;81,08;66,12;47,77;7,90;10,35;2,45;0,74;5,22;33,13;-1,34;1,31;21,85;10,48;14,52;0,48;0,52;0,22;14,28;22,33;72.728.554,18;11,51;2,51;0,69;14.106.870.140,49
MWET3;13,00;;3,72;2,34;0,09;6,79;19,86;2,84;0,53;2,32;1,87;8,25;0,11;-0,66;-0,14;0,75;62,95;2,29;34,56;0,04;0,96;0,81;9,33;;1.300,00;5,55;3,50;-0,03;22.734.073,14
MWET4;10,07;;2,88;1,81;0,07;6,79;19,86;2,84;0,41;2,32;1,87;8,25;0,08;-0,51;-0,11;0,75;62,95;2,29;34,56;0,04;0,96;0,81;9,33;;13.884,54;5,55;3,50;-0,02;22.734.073,14
MYPK3;13,85;4,21;7,73;0,49;0,14;12,17;6,76;1,73;1,98;5,61;3,63;0,91;0,13;0,76;-0,27;1,68;6,37;1,84;8,46;0,29;0,68;1,07;8,89;-3,99;8.999.381,09;28,09;1,79;0,03;2.129.016.473,85
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NATU3;8,63;;17,64;1,25;0,59;66,69;5,04;2,98;10,44;10,58;0,15;0,02;0,53;1,72;-1,82;2,03;7,11;3,35;4,05;0,47;0,53;1,12;;;128.032.700,23;6,88;0,49;-0,20;11.862.432.579,91
NEMO3;0,00;;0,00;0,00;0,00;37,73;26,61;4,43;0,00;5,22;5,22;5,52;0,00;0,00;0,00;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEMO4;0,00;;0,00;0,00;0,00;37,73;26,61;4,43;0,00;5,22;5,22;5,52;0,00;0,00;0,00;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEMO5;52,97;;16,11;2,84;0,23;37,73;26,61;4,43;2,68;5,22;5,22;5,52;0,71;1,34;-0,31;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEMO6;0,00;;0,00;0,00;0,00;37,73;26,61;4,43;0,00;5,22;5,22;5,52;0,00;0,00;0,00;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEOE3;28,30;2,93;7,94;0,98;0,31;26,70;19,64;8,48;3,43;7,92;4,49;1,28;0,67;11,26;-0,38;1,17;12,28;3,90;11,36;0,32;0,68;0,46;11,47;14,17;29.895.539,23;29,02;3,56;-2,62;34.350.462.118,40
NEXP3;3,40;;0,11;-0,17;0,30;45,17;91,83;70,38;0,08;0,04;-0,04;;0,08;-0,36;-0,65;0,39;-155,40;284,68;-197,02;-1,83;2,82;4,04;-3,43;;3.451,11;-20,51;31,88;0,00;9.028.934,60
NGRD3;25,79;;-7,68;0,53;0,40;58,13;-15,24;-11,11;-5,60;-2,91;2,69;-0,26;0,85;1,96;-0,62;2,28;-6,95;-5,16;-9,86;0,74;0,26;0,46;5,77;;146.680,82;48,27;-3,36;-0,02;235.744.945,76
NORD3;5,33;;0,93;-0,28;1,81;90,53;1.236,98;1.455,20;1,09;2,31;1,22;;13,54;-0,28;-1,98;0,01;-29,93;194,45;-25,85;-6,50;7,50;0,13;13,33;;642,83;-19,14;5,73;0,00;35.292.520,38
NRTQ3;0,00;;0,00;0,00;0,00;27,60;9,33;3,53;0,00;3,18;3,18;0,29;0,00;0,00;0,00;4,62;3,50;2,19;4,71;0,62;0,38;0,62;7,47;-12,02;;20,02;0,70;0,00;0,00
NTCO3;11,05;;-2,14;1,01;0,44;66,36;6,37;-33,04;11,11;14,05;2,94;0,27;0,71;1,99;-0,95;1,68;-47,14;-20,34;5,69;0,43;0,57;0,62;10,77;;76.344.659,00;10,94;-5,16;0,01;15.188.862.109,85
NUTR3;2,92;;6,80;0,89;0,28;14,65;6,37;2,47;2,64;3,30;0,66;0,22;0,17;1,16;-1,07;1,50;13,15;4,16;18,50;0,32;0,68;1,68;25,86;-30,25;7.906,36;3,27;0,43;-1,28;38.673.648,00
ODER3;0,00;;0,00;0,00;0,00;29,63;10,68;5,68;0,00;;2,76;0,42;0,00;0,00;0,00;3,69;8,01;4,03;4,57;0,50;0,50;0,71;11,90;16,73;;49,58;3,97;0,00;
ODER4;97,78;0,36;24,61;1,97;0,99;29,63;10,68;5,68;13,10;;2,76;0,42;1,40;1,94;-3,30;3,69;8,01;4,03;4,57;0,50;0,50;0,71;11,90;16,73;0,00;49,58;3,97;-0,93;
ODPV3;13,45;5,63;12,66;5,68;3,47;37,20;32,49;24,70;9,62;9,13;-0,49;-0,29;3,13;-37,75;-4,55;0,72;44,90;27,38;25,70;0,61;0,39;1,11;4,75;15,29;16.168.486,50;2,37;1,06;1,23;7.341.350.096,70
OFSA3;21,55;3,37;8,88;1,77;0,88;51,27;80,12;12,14;1,35;1,65;0,30;0,39;1,08;2,09;-2,35;3,01;19,90;9,86;77,13;0,50;0,50;0,81;10,59;23,11;91.352,23;12,19;2,43;0,06;1.162.601.079,30
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,53;;-0,10;-0,01;0,01;-830,11;-402,10;-808,94;-0,19;-11,17;-10,96;;0,77;-0,06;-0,01;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;1.189.535,77;-46,94;-5,58;0,00;185.500.698,10
OIBR4;7,21;;-1,29;-0,15;0,13;-830,11;-402,10;-808,94;-2,60;-11,17;-10,96;;10,45;-0,75;-0,17;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;62.274,77;-46,94;-5,58;0,01;185.500.698,10
OMGE3;27,57;;8,07;1.081,64;383,33;32,08;37,95;18,16;3,86;3,87;0,00;1,16;1,47;3.125,43;-528,30;1,81;13.403,01;4.750,01;10.210,18;0,35;0,65;261,51;30,00;90,67;;0,03;3,42;0,03;5.521.562.588,85
ONCO3;3,08;;-2,15;0,71;0,20;30,91;-6,50;-15,37;-5,09;-15,94;-10,85;1,52;0,33;2,11;-0,29;1,40;-33,18;-9,19;-6,27;0,28;0,70;0,60;;;11.319.098,73;4,31;-1,43;0,00;2.037.157.054,24
OPCT3;7,12;;-164,99;1,55;0,51;25,33;12,29;-0,48;6,38;11,99;5,61;1,36;0,78;4,65;-0,73;1,54;-0,94;-0,31;6,03;0,33;0,67;0,65;31,17;;3.728.168,68;4,58;-0,04;1,20;1.423.712.024,48
ORVR3;55,40;;120,83;3,80;1,32;45,52;28,34;4,48;19,09;22,57;3,48;0,69;5,41;6,76;-1,99;2,36;3,14;1,09;7,58;0,35;0,63;0,24;21,01;72,26;25.067.046,86;14,59;0,46;-1,87;5.325.428.653,40
OSXB3;2,44;;0,00;0,00;0,01;98,80;-1.337,01;-2.132,11;-0,01;-7,26;-7,25;;0,10;-0,01;-0,01;0,02;-17,64;-112,44;73,96;-6,37;7,38;0,05;39,92;;7.082,29;-2.827,35;-498,87;0,00;7.681.212,72
PARD3;20,25;;36,76;5,30;2,10;26,45;13,31;6,98;19,27;19,93;0,66;0,18;2,57;-54,06;-3,28;0,90;14,42;5,70;13,10;0,40;0,60;0,82;13,44;2,56;;3,82;0,55;-1,04;5.403.493.010,25
PATI3;43,00;1,84;12,76;1,33;0,68;12,02;5,81;3,74;8,21;8,21;0,07;0,01;0,48;1,71;-2,43;2,22;10,42;5,32;7,64;0,51;0,49;1,42;14,96;35,25;41.437,63;32,34;3,37;0,11;1.020.889.579,00
PATI4;35,00;5,51;10,38;1,08;0,55;12,02;5,81;3,74;6,68;8,21;0,07;0,01;0,39;1,39;-1,98;2,22;10,42;5,32;7,64;0,51;0,49;1,42;14,96;35,25;8.595,50;32,34;3,37;0,09;1.020.889.579,00
PCAR3;4,29;;-1,17;0,82;0,11;27,44;-1,00;-9,40;-10,96;-24,63;-13,68;1,03;0,11;-7,08;-0,16;0,95;-70,51;-9,80;-8,30;0,14;0,86;1,04;-19,80;;63.155.602,27;5,21;-3,67;0,04;2.103.781.834,44
PCAR4;72,11;;-19,65;13,85;1,93;27,44;-1,00;-9,40;-184,18;-24,63;-13,68;1,03;1,85;-119,06;-2,69;0,95;-70,51;-9,80;-8,30;0,14;0,86;1,04;-19,80;;;5,21;-3,67;0,64;2.103.781.834,44
PDGR3;0,14;;-0,01;0,00;0,01;20,48;-68,41;-341,79;-0,04;-4,20;-4,15;;0,03;-0,01;-0,02;0,33;-13,92;-92,82;8,98;-6,67;7,81;0,27;-16,76;;202.534,86;-115,52;-16,09;0,00;4.156.744,20
PDTC3;1,05;;8,30;0,71;0,13;76,76;75,08;53,67;5,93;22,95;17,01;2,03;4,46;0,34;-0,32;2,80;8,52;1,56;3,21;0,18;0,82;0,03;;13,07;47.286,09;1,48;0,13;-0,02;83.443.107,30
PEAB3;35,70;2,28;17,25;0,74;0,52;56,77;33,27;36,01;18,67;17,79;-0,88;-0,03;6,21;3,29;-0,65;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;6.612,40;48,11;2,07;0,21;675.016.171,20
PEAB4;35,70;2,47;17,25;0,74;0,52;56,77;33,27;36,01;18,67;17,79;-0,88;-0,03;6,21;3,29;-0,65;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;5.950,00;48,11;2,07;0,21;675.016.171,20
PETR3;33,53;15,59;5,59;1,08;0,37;49,10;27,00;15,69;3,25;5,54;2,40;0,80;0,88;-9,98;-0,42;0,76;19,38;6,59;7,99;0,34;0,66;0,42;10,18;14,03;262.865.035,59;30,97;6,00;-3,16;418.161.700.932,30
PETR4;30,96;16,92;5,16;1,00;0,34;49,10;27,00;15,69;3,00;5,54;2,40;0,80;0,81;-9,21;-0,38;0,76;19,38;6,59;7,99;0,34;0,66;0,42;10,18;14,03;819.411.186,14;30,97;6,00;-2,92;418.161.700.932,30
PETZ3;3,91;7,37;-111,89;1,08;0,47;46,97;2,85;-0,47;18,38;18,93;0,55;0,03;0,52;3,13;-0,74;1,72;-0,96;-0,42;4,58;0,44;0,56;0,91;27,50;;26.330.540,68;3,64;-0,03;-0,49;1.809.313.106,75
PFRM3;7,41;7,76;7,77;0,69;0,17;14,84;2,81;1,07;2,96;5,68;2,72;0,63;0,08;1,07;-0,56;1,30;8,83;2,20;10,94;0,25;0,70;2,05;16,16;58,02;1.339.827,23;10,79;0,95;0,26;917.452.647,93
PGMN3;3,85;6,57;15,13;0,86;0,26;31,86;5,06;1,16;3,46;5,57;2,10;0,52;0,18;1,32;-0,58;1,58;5,70;1,74;12,89;0,30;0,69;1,50;14,51;;3.935.019,36;4,46;0,25;0,26;2.397.290.033,60
PINE3;7,07;7,39;8,36;1,38;0,05;19,10;3,60;4,39;10,19;10,15;;;0,37;-0,74;-0,05;0,02;16,45;0,64;;0,04;0,96;0,15;25,71;;15.033,10;5,14;0,85;0,48;1.596.407.020,86
PINE4;7,01;7,45;8,29;1,36;0,05;19,10;3,60;4,39;10,11;10,15;;;0,36;-0,73;-0,05;0,02;16,45;0,64;;0,04;0,96;0,15;25,71;;1.843.297,14;5,14;0,85;0,47;1.596.407.020,86
PLAS3;4,75;;-0,36;-0,09;0,09;12,04;-1,85;-14,34;-2,77;-15,16;-12,39;;0,05;-0,15;-0,14;0,33;-26,34;-26,53;12,94;-1,01;2,01;1,85;22,66;;2.832,50;-50,46;-13,29;-0,02;59.020.735,50
PLPL3;14,98;6,72;8,54;3,35;1,00;33,16;17,90;12,84;6,13;6,50;0,37;0,20;1,10;1,63;-6,26;3,74;39,24;11,72;24,89;0,30;0,68;0,91;29,22;28,45;12.039.306,91;4,47;1,75;0,41;3.054.436.980,00
PMAM3;1,53;;-0,08;-0,02;0,08;-30,88;-74,88;-283,89;-0,31;-13,27;-12,96;;0,23;-0,02;-0,10;0,05;-23,04;-98,35;29,61;-4,27;5,27;0,35;-38,50;;411.244,41;-81,76;-18,84;0,02;124.592.571,09
PNVL3;9,49;3,83;12,16;1,16;0,43;31,98;4,47;2,28;6,19;10,65;4,46;0,83;0,28;1,73;-1,01;1,75;9,51;3,53;8,18;0,37;0,63;1,55;12,65;8,87;3.215.527,18;8,21;0,78;0,43;1.427.082.294,69
PNVL4;18,62;;23,85;2,27;0,84;31,98;4,47;2,28;12,15;10,65;4,46;0,83;0,54;3,40;-1,98;1,75;9,51;3,53;8,18;0,37;0,63;1,55;12,65;8,87;;8,21;0,78;0,84;1.427.082.294,69
POMO3;7,62;8,14;7,18;2,07;0,91;24,70;15,90;13,46;6,08;7,89;0,95;0,32;0,97;3,26;-2,29;1,87;28,89;12,71;12,43;0,44;0,55;0,94;14,78;43,05;2.020.778,68;3,67;1,06;0,33;9.885.870.264,81
POMO4;9,31;6,66;8,77;2,53;1,11;24,70;15,90;13,46;7,42;7,89;0,95;0,32;1,18;3,98;-2,80;1,87;28,89;12,71;12,43;0,44;0,55;0,94;14,78;43,05;59.625.194,27;3,67;1,06;0,41;9.885.870.264,81
PORT3;18,10;6,14;11,55;3,08;1,28;48,26;34,52;22,19;7,42;9,64;2,21;0,92;2,56;-51,69;-1,50;0,86;26,69;11,06;16,22;0,41;0,59;0,50;12,80;43,10;12.541.925,14;5,87;1,57;0,12;8.017.067.390,00
POSI3;4,16;6,58;-757,24;0,37;0,14;24,99;6,54;-0,02;2,62;5,35;2,73;0,38;0,17;0,46;-0,40;1,93;-0,05;-0,02;7,15;0,38;0,61;0,83;14,00;;2.984.845,32;11,27;-0,01;7,55;589.888.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;16,25;1,04;0,05;0,03;;;;0,97;-0,84;-1,81;-0,08;;0,52;-0,03;138,77;4,34;3,11;3,66;0,72;0,28;0,00;;35,50;;323,28;14,04;0,04;2.160.800,00
PPAR4;0,00;;0,00;0,00;0,00;;;;0,00;-0,84;-1,81;-0,08;;0,00;0,00;138,77;4,34;3,11;3,66;0,72;0,28;0,00;;35,50;;323,28;14,04;0,00;2.160.800,00
PPLA11;0,95;;0,45;267,39;4,85;;;;0,45;0,45;0,00;0,00;;;-267,39;1,00;59.960,00;1.088,20;59.960,00;0,02;0,98;0,00;;;526,26;0,00;2,13;0,00;2.673.932,70
PRIO3;37,07;;3,14;1,27;0,60;34,70;26,83;73,88;8,64;13,39;4,75;0,70;2,32;10,50;-0,72;1,54;40,45;19,10;-8,55;0,47;0,53;0,26;54,25;75,51;272.609.034,27;29,21;11,81;0,04;33.227.552.633,11
PRNR3;15,98;0,31;82,50;2,66;0,63;21,97;7,98;0,78;8,06;11,28;3,22;1,06;0,64;2,18;-1,46;2,06;3,23;0,77;9,55;0,24;0,75;0,99;25,85;;4.623.009,14;6,00;0,19;-0,06;906.397.696,86
PSSA3;49,88;4,72;10,34;2,23;0,63;100,00;8,64;8,36;9,99;6,91;-3,08;-0,69;0,86;10,06;-1,41;1,13;21,54;6,12;13,01;0,28;0,71;0,73;14,28;17,74;159.638.417,27;22,40;4,83;0,40;32.251.712.672,80
PTBL3;4,06;;-3,90;2,30;0,16;36,20;4,42;-5,70;5,04;13,83;8,79;4,01;0,22;-7,51;-0,24;0,94;-59,00;-4,05;4,20;0,07;0,93;0,71;16,66;;591.097,77;1,76;-1,04;0,00;572.406.757,16
PTCA11;0,00;;0,00;0,00;0,00;48,09;10,21;6,85;0,00;1,66;1,66;0,57;0,00;0,00;0,00;1,99;22,96;9,15;14,32;0,40;0,60;1,34;19,72;24,32;;30,96;7,11;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;48,09;10,21;6,85;0,00;1,66;1,66;0,57;0,00;0,00;0,00;1,99;22,96;9,15;14,32;0,40;0,60;1,34;19,72;24,32;;30,96;7,11;0,00;0,00
PTNT3;8,36;3,24;10,42;0,91;0,38;14,84;6,42;4,69;7,61;8,13;2,68;0,32;0,49;1,11;-0,86;2,56;8,77;3,63;5,51;0,41;0,50;0,77;6,38;9,66;12.918,94;9,15;0,80;-0,63;287.643.391,84
PTNT4;4,80;5,64;5,98;0,52;0,22;14,84;6,42;4,69;4,37;8,13;2,68;0,32;0,28;0,64;-0,49;2,56;8,77;3,63;5,51;0,41;0,50;0,77;6,38;9,66;123.040,55;9,15;0,80;-0,36;287.643.391,84
QUAL3;1,90;0,29;62,78;0,41;0,14;85,28;12,92;0,57;2,77;7,63;4,86;0,72;0,36;-1,74;-0,21;0,79;0,65;0,23;7,08;0,35;0,65;0,40;-4,63;-53,44;2.089.139,32;4,62;0,03;-0,57;539.627.217,50
QUSW3;0,00;;0,00;0,00;0,00;91,47;51,17;38,96;0,00;1,40;1,40;0,45;0,00;0,00;0,00;1,16;24,51;9,59;13,42;0,39;0,61;0,25;-12,03;66,78;;134,48;32,96;0,00;0,00
QVQP3B;0,28;;-64.371,22;89.708,83;89.708,83;;;;-59.805,89;-59.805,26;0,63;-0,95;;89.708,83;;;-139,36;-139,36;-150,00;1,00;0,00;0,00;;;0,00;0,00;0,00;-2.479,48;8.432.630.320,52
RADL3;17,20;2,37;24,15;4,43;1,28;29,41;5,78;2,99;12,48;13,79;1,31;0,46;0,72;7,82;-3,02;1,40;18,34;5,31;20,34;0,29;0,71;1,78;17,22;9,64;163.966.598,73;3,88;0,71;1,36;29.549.723.840,00
RAIL3;14,46;5,60;41,67;2,01;0,53;46,24;30,84;4,64;6,27;9,81;3,53;1,13;1,93;7,92;-0,64;1,62;4,81;1,27;9,55;0,26;0,73;0,27;14,48;-3,68;184.564.242,73;7,21;0,35;-0,24;26.878.661.801,82
RAIZ4;1,30;;-1,88;0,74;0,10;4,48;0,68;-2,84;7,84;35,02;27,19;2,57;0,05;0,89;-0,17;1,33;-39,36;-5,07;1,45;0,13;0,87;1,79;20,39;;45.651.806,23;1,76;-0,69;0,00;13.458.262.329,20
RANI3;8,28;8,81;5,13;1,40;0,53;41,62;24,87;22,92;4,73;7,48;2,75;0,81;1,18;2,36;-0,79;3,08;27,20;10,26;11,64;0,38;0,62;0,45;12,61;;3.853.367,00;5,93;1,61;0,03;1.985.791.729,32
RANI4;5,50;;3,41;0,93;0,35;41,62;24,87;22,92;3,14;7,48;2,75;0,81;0,78;1,57;-0,52;3,08;27,20;10,26;11,64;0,38;0,62;0,45;12,61;;;5,93;1,61;0,02;1.985.791.729,32
RAPT3;6,48;3,97;10,83;0,70;0,12;25,85;9,11;1,53;1,82;8,04;6,17;2,37;0,17;0,46;-0,26;2,04;6,45;1,13;8,16;0,18;0,75;0,74;18,53;-4,46;151.091,45;9,28;0,60;-0,29;2.202.162.655,76
RAPT4;6,80;3,77;11,36;0,73;0,13;25,85;9,11;1,53;1,91;8,04;6,17;2,37;0,17;0,48;-0,27;2,04;6,45;1,13;8,16;0,18;0,75;0,74;18,53;-4,46;17.633.748,86;9,28;0,60;-0,31;2.202.162.655,76
RCSL3;1,73;;-2,59;-2,33;1,32;3,23;-281,41;-347,79;-3,20;-2,46;0,00;;8,99;-6,96;-1,98;0,64;-90,07;-51,12;72,86;-0,57;1,57;0,15;1,25;;151.060,09;-0,74;-0,67;-0,02;42.357.517,82
RCSL4;1,13;;-1,69;-1,52;0,86;3,23;-281,41;-347,79;-2,09;-2,46;0,00;;5,87;-4,54;-1,30;0,64;-90,07;-51,12;72,86;-0,57;1,57;0,15;1,25;;2.352.792,27;-0,74;-0,67;-0,01;42.357.517,82
RDNI3;2,02;;-0,64;0,45;0,07;16,57;-17,77;-33,02;-1,18;-7,80;-6,62;2,55;0,21;0,35;-0,13;1,63;-71,56;-10,43;-11,48;0,15;0,84;0,32;11,10;;5.884,91;4,45;-3,18;0,01;88.415.012,16
RDOR3;38,77;1,91;21,58;3,50;0,84;19,84;15,96;7,79;10,53;10,23;-0,30;-0,10;1,68;2,47;-1,75;2,89;16,22;3,89;11,63;0,24;0,74;0,50;30,58;28,65;162.189.192,18;11,08;1,80;0,79;88.755.873.714,30
REAG3;2,76;;29,25;1,33;1,24;83,42;-44,59;21,86;-14,33;-3,53;10,80;-1,00;6,39;1,36;-50,91;16,47;4,53;4,25;-10,90;0,94;0,06;0,19;35,82;;57.885,64;2,08;0,09;0,08;389.137.384,56
RECV3;13,21;16,60;5,90;0,87;0,54;34,86;27,31;19,55;4,22;5,50;1,28;0,26;1,15;6,21;-0,64;2,22;14,80;9,12;11,46;0,62;0,38;0,47;57,21;59,48;26.718.675,82;15,12;2,24;0,43;3.876.766.784,46
REDE3;6,38;6,55;9,61;3,08;0,42;25,42;18,21;7,48;3,94;7,92;3,98;3,11;0,72;5,51;-0,58;1,40;32,11;4,40;13,47;0,14;0,80;0,59;9,82;14,52;14.742,05;2,07;0,66;-0,50;13.463.863.126,12
RENT3;37,42;4,72;17,42;1,59;0,50;28,53;20,59;5,88;4,97;9,06;4,09;1,31;1,02;9,35;-0,63;1,33;9,12;2,86;10,29;0,31;0,69;0,49;29,60;22,76;264.231.665,23;23,54;2,15;0,34;40.511.667.342,40
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;4,37;;5,41;0,28;-2,42;10.691.215.482,28
RNEW11;3,50;;-3,43;0,34;0,14;-10,89;3,44;-32,12;31,98;79,43;47,45;0,50;1,10;-3,54;-0,16;0,69;-9,80;-4,19;0,32;0,43;0,57;0,13;21,43;;5.585,68;10,42;-1,02;0,01;434.214.561,67
RNEW3;1,18;;-3,46;0,34;0,15;-10,89;3,44;-32,12;32,35;79,43;47,45;0,50;1,11;-3,58;-0,16;0,69;-9,80;-4,19;0,32;0,43;0,57;0,13;21,43;;42.039,59;3,47;-0,34;0,01;434.214.561,67
RNEW4;1,12;;-3,29;0,32;0,14;-10,89;3,44;-32,12;30,70;79,43;47,45;0,50;1,06;-3,40;-0,15;0,69;-9,80;-4,19;0,32;0,43;0,57;0,13;21,43;;102.788,50;3,47;-0,34;0,01;434.214.561,67
ROMI3;8,11;10,11;8,27;0,62;0,30;27,85;6,73;7,00;8,60;14,61;6,01;0,43;0,58;0,93;-0,75;2,17;7,48;3,64;4,38;0,49;0,51;0,52;9,77;-6,76;769.620,77;13,11;0,98;-0,23;755.614.758,17
RPAD3;4,93;;-12,75;0,42;0,42;;;;-9,78;-6,12;2,95;-0,13;;3,34;-0,48;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;2.110,00;11,61;-0,39;0,47;387.320.489,31
RPAD5;7,10;7,58;-18,36;0,61;0,60;;;;-14,08;-6,12;2,95;-0,13;;4,81;-0,69;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;890,00;11,61;-0,39;0,67;387.320.489,31
RPAD6;4,15;;-10,73;0,36;0,35;;;;-8,23;-6,12;2,95;-0,13;;2,81;-0,41;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;2.075,00;11,61;-0,39;0,39;387.320.489,31
RPMG3;2,89;;-0,12;-0,03;0,02;-14,43;-20,96;-19,19;-0,11;-0,08;0,03;;0,02;-0,06;-0,42;0,76;-22,32;-16,12;24,36;-0,72;1,72;0,84;42,58;;19.413,40;-109,81;-24,51;0,00;195.628.807,81
RSID3;1,97;;0,14;-0,04;0,08;28,74;-311,91;327,60;-0,15;-1,49;-1,34;;0,47;-0,13;-0,16;0,45;-28,42;54,91;101,17;-1,93;2,93;0,17;-41,82;;8.788,48;-47,95;13,63;0,00;39.936.241,88
RSUL3;0,00;;0,00;0,00;0,00;40,78;21,58;14,95;0,00;1,46;-0,47;-0,16;0,00;0,00;0,00;2,44;23,72;14,26;13,73;0,60;0,40;0,95;17,77;28,31;;41,78;9,91;0,00;167.205.027,25
RSUL4;67,01;;6,76;1,60;0,96;40,78;21,58;14,95;4,69;1,46;-0,47;-0,16;1,01;2,89;-2,21;2,44;23,72;14,26;13,73;0,60;0,40;0,95;17,77;28,31;93.002,64;41,78;9,91;0,86;167.205.027,25
SANB11;28,67;6,08;9,12;0,88;0,09;39,14;10,65;7,79;6,67;6,67;;;0,71;-0,21;-0,09;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;57.650.241,27;32,61;3,14;0,78;107.491.442.616,09
SANB3;13,72;6,05;8,73;0,84;0,08;39,14;10,65;7,79;6,39;6,67;;;0,68;-0,20;-0,08;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;581.883,32;16,31;1,57;0,74;107.491.442.616,09
SANB4;15,11;6,02;9,62;0,93;0,09;39,14;10,65;7,79;7,03;6,67;;;0,75;-0,22;-0,09;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;795.143,18;16,31;1,57;0,82;107.491.442.616,09
SAPR11;35,91;6,15;4,80;0,92;0,44;56,64;36,81;32,33;4,21;6,27;2,06;0,45;1,55;20,95;-0,49;1,21;19,20;9,08;13,74;0,47;0,53;0,28;7,71;15,94;39.365.340,14;38,99;7,48;0,10;10.853.478.037,46
